N TIME FLOP
64 3.016e-05 524288
128 0.0002375 4.1943e+06
192 0.001034 1.41558e+07
256 0.0024575 3.35544e+07
320 0.005351 6.5536e+07
384 0.008753 1.13246e+08
448 0.015101 1.79831e+08
512 0.0216385 2.68435e+08
576 0.0278465 3.82206e+08
640 0.042842 5.24288e+08
704 0.0633705 6.97827e+08
768 0.0793025 9.0597e+08
832 0.117585 1.15186e+09
896 0.166546 1.43865e+09
960 0.244524 1.76947e+09
1024 0.331715 2.14748e+09
1088 0.406386 2.57583e+09
1152 0.541265 3.05765e+09
1216 0.626411 3.59609e+09
1280 0.710523 4.1943e+09
1344 0.861129 4.85543e+09
1408 0.984811 5.58262e+09
1472 1.15748 6.37901e+09
1536 1.33453 7.24776e+09
1600 1.51998 8.192e+09
1664 1.6956 9.21489e+09
1728 1.95813 1.03196e+10
1792 2.16314 1.15092e+10
1856 2.42364 1.27869e+10
1920 2.85944 1.41558e+10
1984 3.10834 1.56191e+10
2048 3.24221 1.71799e+10
2112 3.56448 1.88413e+10
2176 3.92711 2.06066e+10
2240 4.31986 2.24788e+10
2304 4.70752 2.44612e+10
2368 5.24095 2.65568e+10
2432 5.67604 2.87687e+10
2496 6.16347 3.11002e+10
2560 6.62546 3.35544e+10
2624 7.22814 3.61345e+10
2688 8.11039 3.88434e+10
2752 8.38139 4.16846e+10
2816 9.42896 4.46609e+10
2880 9.95251 4.77757e+10
2944 10.4789 5.10321e+10
3008 11.3694 5.44332e+10
3072 11.7841 5.79821e+10
