N TIME FLOP
64 2.172e-05 524288
128 0.0001855 4.1943e+06
192 0.0004635 1.41558e+07
256 0.000969 3.35544e+07
320 0.0014835 6.5536e+07
384 0.0029415 1.13246e+08
448 0.0037795 1.79831e+08
512 0.005491 2.68435e+08
576 0.0092005 3.82206e+08
640 0.0110095 5.24288e+08
704 0.014131 6.97827e+08
768 0.019285 9.0597e+08
832 0.024437 1.15186e+09
896 0.030563 1.43865e+09
960 0.0353485 1.76947e+09
1024 0.043292 2.14748e+09
1088 0.053032 2.57583e+09
1152 0.0629835 3.05765e+09
1216 0.0788495 3.59609e+09
1280 0.0852665 4.1943e+09
1344 0.096473 4.85543e+09
1408 0.112233 5.58262e+09
1472 0.127311 6.37901e+09
1536 0.146517 7.24776e+09
1600 0.167502 8.192e+09
1664 0.182616 9.21489e+09
1728 0.201093 1.03196e+10
1792 0.226293 1.15092e+10
1856 0.252682 1.27869e+10
1920 0.275123 1.41558e+10
1984 0.302974 1.56191e+10
2048 0.337097 1.71799e+10
2112 0.364245 1.88413e+10
2176 0.398121 2.06066e+10
2240 0.432136 2.24788e+10
2304 0.477021 2.44612e+10
2368 0.509448 2.65568e+10
2432 0.553052 2.87687e+10
2496 0.594677 3.11002e+10
2560 0.65795 3.35544e+10
2624 0.697996 3.61345e+10
2688 0.748657 3.88434e+10
2752 0.819184 4.16846e+10
2816 0.865019 4.46609e+10
2880 0.916621 4.77757e+10
2944 0.980714 5.10321e+10
3008 1.03873 5.44332e+10
3072 1.12656 5.79821e+10
