N TIME FLOP
64 3.462e-05 524288
128 0.000278 4.1943e+06
192 0.0008855 1.41558e+07
256 0.0029165 3.35544e+07
320 0.004633 6.5536e+07
384 0.006859 1.13246e+08
448 0.0120935 1.79831e+08
512 0.0177235 2.68435e+08
576 0.026024 3.82206e+08
640 0.032623 5.24288e+08
704 0.0428875 6.97827e+08
768 0.055445 9.0597e+08
832 0.0677555 1.15186e+09
896 0.08445 1.43865e+09
960 0.103003 1.76947e+09
1024 0.12185 2.14748e+09
1088 0.153396 2.57583e+09
1152 0.18545 3.05765e+09
1216 0.216337 3.59609e+09
1280 0.245391 4.1943e+09
1344 0.288334 4.85543e+09
1408 0.330011 5.58262e+09
1472 0.372907 6.37901e+09
1536 0.415116 7.24776e+09
1600 0.482332 8.192e+09
1664 0.541949 9.21489e+09
1728 0.604679 1.03196e+10
1792 0.666346 1.15092e+10
1856 0.746621 1.27869e+10
1920 0.831305 1.41558e+10
1984 0.90685 1.56191e+10
2048 0.978788 1.71799e+10
2112 1.14524 1.88413e+10
2176 1.25331 2.06066e+10
2240 1.33305 2.24788e+10
2304 1.42046 2.44612e+10
2368 1.5808 2.65568e+10
2432 1.74636 2.87687e+10
2496 1.90597 3.11002e+10
2560 1.97335 3.35544e+10
2624 2.11511 3.61345e+10
2688 2.29543 3.88434e+10
2752 2.45946 4.16846e+10
2816 2.72975 4.46609e+10
2880 2.87127 4.77757e+10
2944 3.07512 5.10321e+10
3008 3.16254 5.44332e+10
3072 3.4207 5.79821e+10
