N TIME FLOP
64 3.81e-05 524288
128 0.0002985 4.1943e+06
192 0.0009685 1.41558e+07
256 0.002585 3.35544e+07
320 0.004837 6.5536e+07
384 0.009884 1.13246e+08
448 0.0138115 1.79831e+08
512 0.02638 2.68435e+08
576 0.0297725 3.82206e+08
640 0.0438425 5.24288e+08
704 0.0502575 6.97827e+08
768 0.0757375 9.0597e+08
832 0.084355 1.15186e+09
896 0.122332 1.43865e+09
960 0.132201 1.76947e+09
1024 0.238545 2.14748e+09
1088 0.189542 2.57583e+09
1152 0.255835 3.05765e+09
1216 0.271448 3.59609e+09
1280 0.374518 4.1943e+09
1344 0.385626 4.85543e+09
1408 0.483745 5.58262e+09
1472 0.497797 6.37901e+09
1536 0.797242 7.24776e+09
1600 0.616111 8.192e+09
1664 0.777239 9.21489e+09
1728 0.794805 1.03196e+10
1792 1.0465 1.15092e+10
1856 0.99947 1.27869e+10
1920 1.21899 1.41558e+10
1984 1.18829 1.56191e+10
2048 1.96525 1.71799e+10
2112 1.40535 1.88413e+10
2176 1.71946 2.06066e+10
2240 1.67248 2.24788e+10
2304 2.1144 2.44612e+10
2368 1.9756 2.65568e+10
2432 2.45635 2.87687e+10
2496 2.34774 3.11002e+10
2560 3.55361 3.35544e+10
2624 2.71286 3.61345e+10
2688 3.28468 3.88434e+10
2752 3.30026 4.16846e+10
2816 3.95842 4.46609e+10
2880 3.65359 4.77757e+10
2944 4.43229 5.10321e+10
3008 4.06875 5.44332e+10
3072 6.65421 5.79821e+10
